frame_id,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,772.0,157.0,780.0,149.0,763.0,149.0,793.0,153.0,752.0,153.0,812.0,207.0,731.0,205.0,838.0,269.0,701.0,262.0,853.0,324.0,682.0,310.0,794.0,321.0,743.0,321.0,794.0,410.0,739.0,407.0,801.0,501.0,729.0,499.0
1,772.0,157.0,780.0,149.0,764.0,149.0,792.0,152.0,752.0,153.0,812.0,207.0,732.0,206.0,839.0,268.0,700.0,263.0,853.0,323.0,682.0,310.0,794.0,322.0,743.0,321.0,794.0,409.0,739.0,408.0,801.0,500.0,729.0,498.0
2,772.0,156.0,780.0,148.0,763.0,149.0,792.0,152.0,752.0,153.0,812.0,207.0,732.0,205.0,839.0,269.0,700.0,263.0,853.0,323.0,682.0,310.0,794.0,322.0,743.0,321.0,794.0,410.0,739.0,408.0,801.0,500.0,729.0,498.0
3,772.0,156.0,780.0,147.0,764.0,148.0,793.0,151.0,752.0,153.0,812.0,206.0,732.0,205.0,839.0,269.0,701.0,262.0,853.0,323.0,682.0,310.0,794.0,322.0,743.0,321.0,794.0,410.0,738.0,408.0,801.0,500.0,729.0,499.0
4,771.0,157.0,779.0,148.0,763.0,149.0,792.0,152.0,751.0,153.0,811.0,207.0,732.0,206.0,838.0,270.0,703.0,262.0,853.0,325.0,683.0,309.0,794.0,323.0,743.0,323.0,794.0,409.0,738.0,407.0,801.0,501.0,730.0,498.0
5,772.0,156.0,780.0,148.0,764.0,148.0,792.0,152.0,752.0,153.0,810.0,207.0,731.0,205.0,838.0,270.0,702.0,262.0,853.0,325.0,683.0,309.0,794.0,323.0,743.0,323.0,795.0,409.0,738.0,407.0,801.0,501.0,730.0,499.0
6,772.0,156.0,780.0,148.0,764.0,148.0,792.0,152.0,752.0,153.0,811.0,207.0,731.0,205.0,838.0,270.0,702.0,262.0,853.0,325.0,683.0,309.0,794.0,323.0,743.0,323.0,795.0,409.0,738.0,407.0,801.0,501.0,730.0,499.0
7,772.0,156.0,780.0,148.0,764.0,148.0,792.0,152.0,752.0,153.0,811.0,207.0,731.0,205.0,838.0,270.0,703.0,262.0,853.0,325.0,683.0,309.0,794.0,323.0,743.0,323.0,795.0,409.0,738.0,407.0,801.0,501.0,730.0,499.0
8,772.0,156.0,780.0,148.0,764.0,148.0,792.0,153.0,752.0,153.0,811.0,207.0,731.0,205.0,838.0,269.0,703.0,262.0,853.0,324.0,683.0,308.0,794.0,323.0,743.0,322.0,795.0,409.0,738.0,407.0,801.0,500.0,730.0,499.0
9,772.0,156.0,780.0,148.0,764.0,148.0,792.0,152.0,752.0,153.0,811.0,207.0,731.0,205.0,838.0,269.0,703.0,262.0,853.0,324.0,683.0,308.0,794.0,323.0,743.0,322.0,795.0,409.0,738.0,407.0,801.0,500.0,730.0,499.0
10,772.0,156.0,780.0,148.0,764.0,148.0,792.0,152.0,752.0,153.0,811.0,207.0,731.0,205.0,838.0,270.0,703.0,262.0,853.0,324.0,683.0,308.0,794.0,323.0,743.0,322.0,795.0,409.0,738.0,407.0,801.0,500.0,730.0,499.0
11,772.0,156.0,780.0,148.0,764.0,148.0,792.0,152.0,753.0,153.0,811.0,207.0,732.0,205.0,838.0,269.0,703.0,262.0,853.0,324.0,683.0,308.0,794.0,323.0,743.0,323.0,795.0,409.0,738.0,407.0,801.0,500.0,730.0,499.0
12,772.0,157.0,780.0,148.0,764.0,148.0,792.0,152.0,752.0,153.0,811.0,207.0,731.0,205.0,838.0,269.0,703.0,262.0,853.0,324.0,683.0,309.0,794.0,324.0,743.0,323.0,795.0,409.0,739.0,407.0,801.0,500.0,730.0,499.0
13,772.0,156.0,780.0,148.0,764.0,148.0,792.0,152.0,753.0,153.0,811.0,207.0,731.0,205.0,838.0,270.0,702.0,262.0,853.0,324.0,683.0,309.0,794.0,323.0,743.0,323.0,795.0,408.0,739.0,407.0,801.0,500.0,730.0,499.0
14,772.0,156.0,780.0,148.0,764.0,148.0,792.0,152.0,752.0,153.0,811.0,207.0,731.0,205.0,838.0,270.0,702.0,262.0,853.0,324.0,683.0,309.0,794.0,323.0,743.0,322.0,795.0,408.0,739.0,406.0,801.0,500.0,730.0,499.0
15,772.0,157.0,780.0,148.0,764.0,149.0,792.0,153.0,752.0,153.0,811.0,207.0,731.0,206.0,838.0,270.0,702.0,262.0,852.0,325.0,684.0,308.0,794.0,323.0,743.0,323.0,795.0,408.0,739.0,407.0,801.0,500.0,730.0,499.0
16,772.0,159.0,780.0,150.0,764.0,151.0,793.0,154.0,752.0,154.0,812.0,208.0,732.0,206.0,839.0,271.0,702.0,262.0,852.0,325.0,683.0,309.0,794.0,324.0,743.0,323.0,796.0,409.0,739.0,407.0,801.0,500.0,730.0,499.0
17,772.0,161.0,780.0,152.0,764.0,152.0,792.0,154.0,751.0,154.0,811.0,208.0,731.0,206.0,838.0,270.0,702.0,262.0,853.0,324.0,684.0,309.0,794.0,324.0,743.0,323.0,796.0,409.0,738.0,407.0,801.0,500.0,730.0,499.0
18,771.0,162.0,779.0,153.0,763.0,154.0,790.0,155.0,750.0,155.0,811.0,208.0,730.0,206.0,838.0,270.0,703.0,262.0,853.0,325.0,684.0,308.0,794.0,324.0,743.0,323.0,796.0,411.0,738.0,408.0,801.0,501.0,730.0,499.0
19,771.0,164.0,779.0,155.0,763.0,155.0,791.0,156.0,750.0,156.0,811.0,209.0,730.0,207.0,838.0,271.0,703.0,263.0,852.0,326.0,684.0,309.0,794.0,325.0,743.0,324.0,796.0,411.0,738.0,408.0,801.0,501.0,730.0,499.0
20,771.0,165.0,780.0,157.0,763.0,157.0,792.0,157.0,752.0,158.0,812.0,210.0,731.0,208.0,838.0,271.0,701.0,263.0,852.0,324.0,683.0,309.0,794.0,324.0,743.0,323.0,796.0,413.0,738.0,410.0,801.0,501.0,729.0,499.0
