frame_id,barbell_x_min,barbell_y_min,barbell_x_max,barbell_y_max
0,578,435,824,718
1,574,439,816,719
2,571,443,810,719
3,570,437,801,719
4,570,437,797,718
5,549,436,770,720
6,562,443,768,720
7,564,444,767,720
8,562,452,765,720
9,551,445,765,720
10,550,442,763,720
11,546,445,762,720
12,555,443,762,720
13,552,446,760,720
14,545,449,759,720
15,550,449,760,719
16,546,450,758,720
17,545,449,758,719
18,548,449,759,719
19,550,447,758,719
20,552,448,757,719
21,552,449,757,719
22,558,449,757,719
23,559,449,757,719
24,557,449,759,719
25,560,450,760,720
26,560,445,760,720
27,560,445,760,720
28,561,449,767,720
29,563,454,773,720
30,561,454,776,720
31,560,459,776,720
32,560,464,776,720
33,555,470,781,720
34,555,471,782,720
35,554,466,782,718
36,555,465,782,717
37,557,462,782,712
38,561,458,782,707
39,562,455,783,703
40,566,452,784,698
41,569,448,784,696
42,568,445,785,693
43,553,441,789,688
44,552,437,792,684
45,533,433,794,683
46,556,429,794,683
47,536,425,796,681
48,515,421,798,681
49,521,418,801,680
50,506,414,804,680
51,496,412,805,681
52,488,409,810,680
53,511,405,820,680
54,494,402,823,679
55,507,400,831,653
56,508,398,832,639
57,512,397,838,634
58,516,393,835,630
59,521,391,833,628
60,524,391,830,628
61,522,392,836,630
62,521,392,841,630
63,529,395,844,632
64,538,393,840,631
65,538,392,838,629
66,545,391,837,627
67,531,390,841,626
68,524,388,833,625
69,522,387,835,625
70,518,386,839,624
71,516,386,851,628
72,513,384,858,623
73,509,381,852,620
74,504,380,852,619
75,506,378,857,619
76,519,377,853,621
77,539,376,853,619
78,554,375,857,613
79,576,374,860,614
80,552,375,865,609
81,545,375,868,608
82,583,376,868,609
83,622,377,869,611
84,636,379,867,613
85,640,380,877,619
86,640,381,873,618
87,640,382,869,618
88,640,386,869,620
89,639,388,873,619
90,639,388,879,618
91,638,389,877,619
92,638,388,880,618
93,638,389,881,618
94,638,389,883,618
95,637,388,884,618
96,636,388,883,619
97,636,388,883,619
98,635,389,883,622
99,635,389,882,623
100,634,389,877,625
101,633,390,873,626
102,632,390,872,626
103,630,391,871,629
104,628,391,870,629
105,625,391,859,629
106,311,0,690,147
107,313,0,690,152
108,312,0,690,150
109,311,0,690,145
110,621,385,842,627
111,620,384,839,628
112,618,384,840,628
113,616,385,841,628
114,617,386,841,629
115,617,387,842,629
116,616,389,842,630
117,615,389,845,630
118,607,390,845,632
119,605,392,847,633
120,597,393,845,635
121,591,393,846,636
122,593,393,847,636
123,600,393,849,635
124,600,392,848,634
125,598,391,847,633
126,585,391,846,633
127,569,389,843,633
128,596,389,841,631
129,607,387,839,631
130,615,386,836,629
131,618,384,835,628
132,619,383,836,628
133,618,382,835,628
134,618,382,834,627
135,618,381,832,626
136,617,380,832,626
137,617,379,834,625
138,616,377,833,621
139,618,375,841,619
140,617,374,839,618
141,617,373,837,617
142,617,372,837,617
143,617,372,839,618
144,617,374,840,619
145,617,376,843,620
146,618,378,846,621
147,619,380,846,623
148,621,383,852,626
149,623,385,854,626
150,625,387,858,626
151,627,389,860,628
152,627,390,860,629
153,628,392,866,631
154,627,393,868,632
155,626,392,859,632
156,625,392,852,632
157,624,391,849,631
158,621,390,845,630
159,621,388,839,628
160,620,386,836,627
161,619,385,833,627
162,619,383,833,626
163,617,381,831,622
164,617,378,831,619
165,616,377,829,618
166,616,375,829,618
167,615,374,829,616
168,615,369,831,611
169,614,367,831,612
170,613,366,834,614
171,612,365,833,610
172,613,363,831,612
173,614,361,833,602
174,615,358,832,594
175,615,356,832,588
176,615,353,832,584
177,615,351,831,581
178,607,346,832,577
179,604,341,830,572
180,566,336,832,569
181,547,332,834,565
182,559,328,837,560
183,584,320,836,553
184,562,315,835,547
185,553,310,835,541
186,577,303,833,536
187,589,298,833,531
188,597,291,833,527
189,601,287,833,523
190,602,283,833,519
191,600,282,834,517
192,601,281,835,514
193,599,280,835,515
194,600,279,835,512
195,599,278,834,514
196,597,277,832,516
197,597,274,830,516
198,595,268,826,511
199,595,265,823,508
200,594,262,821,506
201,591,261,818,505
202,589,260,816,500
203,584,263,814,502
204,583,266,812,504
205,585,270,812,508
206,587,274,812,511
207,589,277,814,513
208,590,276,814,512
209,591,273,815,510
210,592,269,815,509
211,589,265,815,508
212,588,260,814,504
213,583,256,810,501
214,581,254,807,499
215,579,255,804,499
216,579,260,804,507
217,577,266,803,509
218,564,283,800,530
219,563,293,799,538
220,566,303,796,545
221,568,311,793,550
222,569,316,794,554
223,571,320,795,558
224,569,320,792,562
225,569,323,791,566
226,569,325,791,568
227,568,328,790,569
228,565,334,786,578
229,561,338,783,582
230,559,341,783,584
231,558,344,782,587
232,558,347,783,590
233,557,351,781,593
234,555,355,779,598
235,557,359,779,600
236,559,361,782,604
237,558,363,781,604
238,561,367,785,608
239,561,368,784,609
240,563,369,785,610
241,565,369,786,610
242,565,368,786,610
243,566,369,789,611
244,568,369,792,612
245,569,368,793,612
246,571,369,794,611
247,572,369,794,611
248,574,369,797,611
249,576,368,798,611
250,577,367,799,610
251,577,366,800,610
252,577,366,800,609
253,577,364,801,608
254,577,364,802,607
255,577,363,802,600
256,578,363,802,598
257,578,363,802,597
258,579,363,803,597
259,579,363,803,597
260,580,363,803,597
261,581,363,805,598
262,581,363,806,597
263,581,363,806,597
264,582,363,807,597
265,581,363,806,597
266,581,364,806,598
267,581,365,806,599
268,581,366,806,599
269,581,367,806,599
270,580,368,805,599
271,580,368,805,599
272,581,368,805,599
273,580,369,804,599
274,581,369,804,600
275,580,369,803,601
276,580,369,802,601
277,580,369,802,603
278,579,370,802,604
279,578,371,802,604
280,578,371,803,605
281,577,370,803,606
282,576,370,802,607
283,576,369,803,607
284,576,369,802,607
285,576,369,802,607
286,576,369,801,607
287,575,369,800,608
288,575,369,800,608
289,574,369,800,608
290,574,369,799,608
291,573,369,798,608
292,572,369,797,607
293,571,369,797,608
294,570,369,797,608
295,569,369,796,608
296,569,369,796,608
297,569,369,795,608
298,569,368,795,608
299,569,368,795,607
300,569,368,795,608
301,568,368,795,608
302,569,368,796,608
303,570,368,797,608
304,570,368,797,608
305,569,368,797,608
306,570,368,797,608
307,571,368,799,608
308,571,369,799,609
309,571,369,799,608
310,572,369,799,608
311,571,368,799,607
312,572,368,800,607
313,573,368,800,607
314,573,367,800,607
315,573,367,800,605
316,573,366,800,604
317,573,366,800,604
318,573,366,801,605
319,573,366,801,605
320,574,366,802,604
321,574,366,802,604
322,574,366,801,604
323,573,368,800,606
324,573,370,800,607
325,574,372,799,609
326,573,374,799,610
327,573,377,798,612
328,573,382,797,613
329,573,386,797,617
330,573,391,796,623
331,573,396,796,628
332,574,401,796,634
333,576,408,797,640
334,577,414,797,645
335,579,419,801,651
336,580,423,803,656
337,581,428,805,660
338,584,434,806,668
339,581,439,807,681
340,580,443,805,699
341,584,445,805,705
342,574,447,808,716
343,574,449,808,714
344,576,452,813,717
345,553,455,814,718
346,557,458,814,720
347,544,460,812,720
348,531,464,810,719
349,529,469,814,720
350,569,473,811,720
351,579,476,808,720
352,593,479,807,720
353,596,485,804,719
354,597,487,803,718
355,593,491,801,719
356,592,496,800,720
357,591,501,799,720
358,587,501,794,718
359,587,506,793,720
360,587,508,794,720
361,589,508,794,720
362,589,510,794,720
363,588,513,791,720
364,592,516,792,720
365,593,518,796,720
366,593,519,796,720
367,595,520,799,720
368,596,519,802,719
369,598,517,807,719
370,599,515,813,719
