frame_id,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
42,770,242,,,772,228,,,743,208,677,219,689,260,617.0,246.0,666,381,611.0,277.0,660,484,568,347,569,363,633,459,629,460,,,,
43,764,228,,,765,212,,,740,192,700,237,677,239,,,664,360,,,655,454,575,343,551,346,678,439,643,467,653.0,560.0,640.0,589.0
44,760,211,,,759,194,,,732,175,692,228,675,228,,,664,351,,,659,443,571,341,552,343,663,450,640,465,642.0,567.0,626.0,591.0
45,757,195,,,756,179,,,728,163,690,215,672,217,674.0,329.0,662,340,,,657,431,578,334,556,338,678,440,634,473,,,618.0,594.0
46,750,180,,,749,164,,,720,147,688,200,663,205,671.0,305.0,660,329,661.0,414.0,661,434,599,334,577,340,667,443,632,465,633.0,570.0,613.0,607.0
47,744,160,,,741,145,,,711,134,677,188,663,195,,,664,318,,,655,400,591,334,578,340,654,427,630,452,625.0,564.0,622.0,601.0
48,736,144,,,732,130,,,699,123,664,181,657,183,,,656,307,,,660,391,585,332,576,332,631,463,626,466,627.0,594.0,620.0,610.0
49,726,130,,,720,116,,,687,111,660,173,650,176,,,653,300,,,659,390,595,325,582,327,648,458,631,468,646.0,586.0,624.0,612.0
50,715,116,,,708,102,,,674,98,648,161,638,168,,,648,291,,,660,383,601,323,589,327,638,453,626,462,633.0,581.0,624.0,607.0
51,704,101,,,697,88,,,663,87,643,154,635,161,,,644,284,,,658,375,608,321,597,325,636,451,625,462,631.0,580.0,620.0,606.0
52,693,93,,,685,79,,,652,81,635,150,627,157,,,643,277,,,655,369,617,315,605,320,641,452,626,464,633.0,584.0,624.0,608.0
53,684,86,,,675,72,,,641,74,632,147,619,151,,,638,271,,,654,355,623,321,609,324,639,456,625,465,631.0,585.0,618.0,609.0
54,674,82,,,665,69,,,630,71,625,146,613,152,,,634,268,,,654,354,625,317,612,322,641,451,628,464,630.0,581.0,616.0,609.0
55,666,79,,,657,66,,,621,71,617,148,609,154,,,632,269,,,653,358,623,316,613,322,636,451,621,465,629.0,583.0,617.0,608.0
56,661,77,,,650,65,,,613,71,615,146,608,152,,,631,267,,,654,360,623,315,614,321,636,451,623,465,630.0,581.0,619.0,611.0
57,655,75,,,644,64,,,606,72,611,146,604,153,,,630,267,,,655,358,622,315,613,321,638,450,624,467,631.0,578.0,618.0,612.0
