frame_id,person_id,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
42,0,"tensor([154.2410, 113.1134])","tensor([167.7947, 101.9622])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,"tensor([155.8718, 110.8406])","tensor([170.2931,  99.0888])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,"tensor([149.6250, 111.8862])","tensor([162.7440, 100.4738])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,"tensor([144.2289, 117.6292])","tensor([156.1732, 106.1203])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,"tensor([144.1229, 120.2211])","tensor([156.2350, 108.9578])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,"tensor([141.8268, 122.6365])","tensor([154.2443, 111.0423])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,"tensor([136.3605, 128.6442])","tensor([147.6613, 117.1158])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0,"tensor([131.6391, 134.6453])","tensor([142.5502, 123.1011])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,"tensor([126.2669, 142.0392])","tensor([136.3547, 130.2247])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,"tensor([121.7675, 149.3959])","tensor([132.3928, 137.7477])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0,"tensor([117.9746, 157.6382])","tensor([127.5182, 146.5773])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0,"tensor([112.7720, 165.7934])","tensor([122.1452, 154.5386])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0,"tensor([107.5354, 177.9733])","tensor([116.3562, 166.8436])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0,"tensor([103.5359, 190.7013])","tensor([112.8411, 179.5683])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0,"tensor([101.6498, 202.3260])","tensor([110.7588, 191.3916])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,0,"tensor([ 95.9202, 214.0337])","tensor([104.9298, 203.0005])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0,"tensor([ 92.7430, 227.3436])","tensor([102.2350, 216.8114])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0,"tensor([ 90.1673, 239.4301])","tensor([ 97.9312, 230.0786])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0,"tensor([ 87.5816, 251.5181])","tensor([ 94.9682, 242.1479])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,0,"tensor([ 84.4030, 260.6935])","tensor([ 91.9466, 251.3972])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
